Operation,Record Count,Elapsed Time (s)
INSERT,1000,0.2172
INSERT,10000,1.4303
INSERT,100000,14.4631
INSERT,1000000,143.7555
SELECT,1000,0.1601
SELECT,10000,0.4774
SELECT,100000,2.8786
SELECT,1000000,31.0102
UPDATE,1000,0.2372
UPDATE,10000,0.3973
UPDATE,100000,3.2169
UPDATE,1000000,18.6137
DELETE,1000,0.2402
DELETE,10000,0.4534
DELETE,100000,4.5591
DELETE,1000000,22.3913
